provinces;area;municipalities;wards;stations;
Eastern Cape;EC18: Jeffreys Bay;Kouga;014;Aston Bay Hall;
Eastern Cape;EC18: Jeffreys Bay;Kouga;002;Pellsrus Community Hall;
Eastern Cape;EC18: Jeffreys Bay;Kouga;002;Tokyo Sexwale Creche;
Eastern Cape;EC18: Jeffreys Bay;Kouga;008;Victory Church;
Eastern Cape;EC18: Jeffreys Bay;Kouga;014;Madiba Bay Creche;
Eastern Cape;EC18: Jeffreys Bay;Kouga;012;Paradise Beach Caravan Park;
Eastern Cape;EC18: Jeffreys Bay;Kouga;014;Jeffreys Bay Taxi Rank Hall;
Eastern Cape;EC21: KwaNonzame;Inxuba Yethemba;009;African United Baptist Church;
Eastern Cape;EC21: KwaNonzame;Inxuba Yethemba;008;Siyabulela Community Hall;
Eastern Cape;EC21: KwaNonzame;Inxuba Yethemba;008;Masigcinane Educare Centre;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;009;Middelburg Civic Centre;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;008;Ellen Olivier Primary School;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;007;Civic Centre;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;007;Schoombee Trust School;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;007;Volmoed Primary School;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;007;Grootvlei Farm School;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;007;Chris Hani District Council Office;
Eastern Cape;EC22: MIddleburg;Inxuba Yethemba;007;Lindokuhle Pre-School;
Eastern Cape;EC23: Hofmeyr;Enoch Mgijima;034;Town Hall;
Eastern Cape;EC23: Hofmeyr;Enoch Mgijima;034;Chris Hani Centre;
Eastern Cape;EC23: Hofmeyr;Enoch Mgijima;034;Fonteintjie Farm Shed;
Eastern Cape;EC23: Hofmeyr;Enoch Mgijima;034;Frotuin Farm;
Eastern Cape;EC23: Hofmeyr;Enoch Mgijima;034;Spitskop Agricultural Farm Hall;
Eastern Cape;EC23: Hofmeyr;Enoch Mgijima;034;Besterleegte Farm Shed;
Eastern Cape;EC24: Aberdeen;Dr Beyers Naude;001;Sopkombuissaal Lotusville (Hall);
Eastern Cape;EC24: Aberdeen;Dr Beyers Naude;007;Library Hall;
Eastern Cape;EC24: Aberdeen;Dr Beyers Naude;001;Luxolo Intermediate School;
Eastern Cape;EC24: Aberdeen;Dr Beyers Naude;001;Mobile Voting Station (Wallicedale);
Eastern Cape;EC24: Aberdeen;Dr Beyers Naude;007;Platdrift;
Eastern Cape;EC24: Aberdeen;Dr Beyers Naude;007;Vrede Hall;
Eastern Cape;EC24: Aberdeen;Dr Beyers Naude;001;Pretoriuskuil Farm;
Eastern Cape;EC25: Graaff-Reinet;Dr Beyers Naude;006;Nqweba Secondary School;
Eastern Cape;EC25: Graaff-Reinet;Dr Beyers Naude;004;Isibane Primary School;
Eastern Cape;EC25: Graaff-Reinet;Dr Beyers Naude;002;Graaff-Reinet Town Hall;
Eastern Cape;EC25: Graaff-Reinet;Dr Beyers Naude;004;Sap Academy;
Eastern Cape;EC25: Graaff-Reinet;Dr Beyers Naude;004;Umasizakhe Community Hall;
Eastern Cape;EC25: Graaff-Reinet;Dr Beyers Naude;004;Morning Star House;
Eastern Cape;EC25: Graaff-Reinet;Dr Beyers Naude;002;Community Hall;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;005;Lingcom Primary School;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;014;Spandau Public High School;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;014;Ryneveld Primary School;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;014;Narsingstraat Primary School;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;007;Adendorp Town Hall;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;005;Alex Laing Hall;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;003;Graaff- Reinet Primary School;
Eastern Cape;EC26: Kroonvale;Dr Beyers Naude;003;Asherville Secondary School;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;004;Michausdal Senior Secondary School;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;005;Cradock Town Hall;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;004;Michausdal Community Hall;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;004;Michausdal Club House;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;003;Michausal Senior Primary School;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Honey Grove Farm House;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Baroda Primary School;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Fish River Tennis Club;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Samekomst Hall;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Lombardy Cradock Shed;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Vlakie Farm;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Betjieskraal Farm Shed;
Eastern Cape;EC27: Cradock;Inxuba Yethemba;006;Mountain Zebra Park Community Hall (Nat Park);
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;002;Matthew Goniwe Comprehensive School;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;003;Lingelihle Community Hall;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;001;Uniting Reformed Church;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;001;AS Skweyiya Memorial Church;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;003;Discipline Church In South Africa;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;002;Songezo Tent;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;001;Seventh Day Adventist Church (Tent);
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;001;Kude Kwalapha Primary School;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;006;Nomsa Frans Community Hall;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;003;Cradock Youth Centre;
Eastern Cape;EC28: Lingelihle;Inxuba Yethemba;003;Roman Catholic Church;
Eastern Cape;EC31: Alexandria;Ndlambe;001;Ukhanyo School;
Eastern Cape;EC31: Alexandria;Ndlambe;002;Wentzel Park Community Hall;
Eastern Cape;EC31: Alexandria;Ndlambe;001;Kwanonqubela Community Hall;
Eastern Cape;EC31: Alexandria;Ndlambe;002;Balindi Creche;
Eastern Cape;EC31: Alexandria;Ndlambe;003;Marselle Hall;
Eastern Cape;EC31: Alexandria;Ndlambe;003;Boesmansrivier Mond Municipal Hall;
Eastern Cape;EC31: Alexandria;Ndlambe;003;Masibulele Creche;
Eastern Cape;EC31: Alexandria;Ndlambe;004;Kenton-On-Sea Municipality;
Eastern Cape;EC31: Alexandria;Ndlambe;004;Ekuphumleni Community Hall;
Eastern Cape;EC31: Alexandria;Ndlambe;003;Klipfontein Hall;
Eastern Cape;EC31: Alexandria;Ndlambe;002;Geelhoutboom Primary School;
Eastern Cape;EC31: Alexandria;Ndlambe;004;Belton Hiking Trail House;
Eastern Cape;EC31: Alexandria;Ndlambe;006;Southwell Community Hall;
Eastern Cape;EC31: Alexandria;Ndlambe;001;Daniel Scheepers Community Hall;
Eastern Cape;EC32: Somerset East;Blue Crane Route;001;Madiba Community Hall;
Eastern Cape;EC32: Somerset East;Blue Crane Route;001;Cookhouse Town Hall;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Cookhouse Secondary School;
Eastern Cape;EC32: Somerset East;Blue Crane Route;004;Pearston Senior Secondary School;
Eastern Cape;EC32: Somerset East;Blue Crane Route;004;Khanyiso Hall;
Eastern Cape;EC32: Somerset East;Blue Crane Route;004;Nelsig Community Hall;
Eastern Cape;EC32: Somerset East;Blue Crane Route;003;Methodist Church;
Eastern Cape;EC32: Somerset East;Blue Crane Route;002;Town Hall;
Eastern Cape;EC32: Somerset East;Blue Crane Route;005;Francesvale Hall;
Eastern Cape;EC32: Somerset East;Blue Crane Route;005;Glen Avon;
Eastern Cape;EC32: Somerset East;Blue Crane Route;002;Professor Jakes Gerwel Multi-Purpose Centre;
Eastern Cape;EC32: Somerset East;Blue Crane Route;003;Gilbert Xuza Primary School;
Eastern Cape;EC32: Somerset East;Blue Crane Route;004;Walsingham;
Eastern Cape;EC32: Somerset East;Blue Crane Route;004;Ebenezer Farm;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Bloukrans Farm;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Bracefield Primary School;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Middlewater;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Drie Fontein Farm;
Eastern Cape;EC32: Somerset East;Blue Crane Route;004;Doornbos;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Golden Valley;
Eastern Cape;EC32: Somerset East;Blue Crane Route;001;Thorngrove School;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Uitkeer;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;The Ridges;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Greilingskraal;
Eastern Cape;EC32: Somerset East;Blue Crane Route;006;Middleton;
Eastern Cape;EC32: Somerset East;Blue Crane Route;001;Witmos Primary School;
Eastern Cape;EC32: Somerset East;Blue Crane Route;001;Baviaans Krantz;
Eastern Cape;EC32: Somerset East;Blue Crane Route;001;De Klerksdaal Tent;
Eastern Cape;EC32: Somerset East;Blue Crane Route;001;Kriegerskraal;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;001;Methodist Church;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;001;Moses Mabida Senior Secondary School;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;002;Saint Colmcille Public School;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;001;Uniting Reformed Church;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;002;Masiphathisane Day Care Services;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;002;Bergsig Community Hall;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;008;Blue Cliff Farm Stall;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;008;Mhlophekazi School;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;007;Kirkwood Prison;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;007;Malmaison Primary School;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;007;St Reginalds Primary School;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;008;Dunbrody Primary School;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;008;Siembamba Creche;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;007;Sivuyiseni Crech;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;002;Nomzamo Farm;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;007;Rietberg Primary School;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;007;Kleinpoort Hall;
Eastern Cape;EC33: Kirkwood;Sundays River Valley;007;Glenconner Primary School;
Eastern Cape;EC34: Grahamstown;Makana;014;Alicedale Town Hall;
Eastern Cape;EC34: Grahamstown;Makana;003;Mary Waters Senior Secondary School;
Eastern Cape;EC34: Grahamstown;Makana;008;Public Library Activities Room;
Eastern Cape;EC34: Grahamstown;Makana;004;Graeme College;
Eastern Cape;EC34: Grahamstown;Makana;004;Recreation Hall;
Eastern Cape;EC34: Grahamstown;Makana;004;St Aidans Complex;
Eastern Cape;EC34: Grahamstown;Makana;012;Steve Biko Hall;
Eastern Cape;EC34: Grahamstown;Makana;001;Hooggenoeg Hall;
Eastern Cape;EC34: Grahamstown;Makana;001;Alfred Dike Kota Hall;
Eastern Cape;EC34: Grahamstown;Makana;001;Carlisle Bridge Farm School;
Eastern Cape;EC34: Grahamstown;Makana;014;Sidbury Hall;
Eastern Cape;EC34: Grahamstown;Makana;014;Highlands Tent;
Eastern Cape;EC34: Grahamstown;Makana;014;Seven Fountains Sports Club;
Eastern Cape;EC34: Grahamstown;Makana;013;Salem Club Hall;
Eastern Cape;EC34: Grahamstown;Makana;013;Manley Flats Sports Club;
Eastern Cape;EC34: Grahamstown;Makana;001;Koonap Community Hall;
Eastern Cape;EC34: Grahamstown;Makana;013;Frasers Camp Shop;
Eastern Cape;EC34: Grahamstown;Makana;013;Committees Drift Police Station (Tent);
Eastern Cape;EC34: Grahamstown;Makana;013;Collingham (Pinewood School);
Eastern Cape;EC34: Grahamstown;Makana;001;Douglas Heights Tent;
Eastern Cape;EC34: Grahamstown;Makana;013;GardenerS Gate Tent;
Eastern Cape;EC34: Grahamstown;Makana;013;Farmer Field School;
Eastern Cape;EC35: Addo;Sundays River Valley;004;Sinakho Hall;
Eastern Cape;EC35: Addo;Sundays River Valley;008;Moreson Primary School;
Eastern Cape;EC35: Addo;Sundays River Valley;003;Nanaga Farm Stall Tent;
Eastern Cape;EC35: Addo;Sundays River Valley;003;Zamukukhanya Community Hall;
Eastern Cape;EC35: Addo;Sundays River Valley;004;Zuney Combined Primary School;
Eastern Cape;EC35: Addo;Sundays River Valley;004;Nicoshoop Tent;
Eastern Cape;EC35: Addo;Sundays River Valley;008;Addo Elephant Park Multi-Purpose Hall;
Eastern Cape;EC35: Addo;Sundays River Valley;005;Samkelwe Senior Secondary School;
Eastern Cape;EC35: Addo;Sundays River Valley;005;Masizakhe Community Hall;
Eastern Cape;EC35: Addo;Sundays River Valley;006;St Ignatius Primary School;
Eastern Cape;EC35: Addo;Sundays River Valley;006;Sundays River Primary School;
Eastern Cape;EC35: Addo;Sundays River Valley;008;Srcc Hall;
Eastern Cape;EC35: Addo;Sundays River Valley;003;Valencia Community Hall;
Eastern Cape;EC35: Addo;Sundays River Valley;006;Av Bukani Primary School;
Eastern Cape;EC35: Addo;Sundays River Valley;003;Place Of Mercy And Hope;
Eastern Cape;EC35: Addo;Sundays River Valley;005;Uniting Reformed Church Addo;
Eastern Cape;EC35: Addo;Sundays River Valley;006;Langbos Creche & Care Centre;
Eastern Cape;EC36: Rhini;Makana;011;Ntsika Senior Secondary School;
Eastern Cape;EC36: Rhini;Makana;006;Indoor Sports Centre;
Eastern Cape;EC36: Rhini;Makana;002;Ntlebi Lower Primary School;
Eastern Cape;EC36: Rhini;Makana;002;Noluthando Hall;
Eastern Cape;EC36: Rhini;Makana;009;Nombulelo Senior Secondary School;
Eastern Cape;EC36: Rhini;Makana;007;Tantyi Hall;
Eastern Cape;EC36: Rhini;Makana;007;Hlalani Hall;
Eastern Cape;EC36: Rhini;Makana;010;Bb Zondani Hall;
Eastern Cape;EC36: Rhini;Makana;009;Fikizolo Lower Primary School;
Eastern Cape;EC36: Rhini;Makana;010;Nathaniel Nyaluza  High School;
Eastern Cape;EC36: Rhini;Makana;003;Assumption Clinic Tent;
Eastern Cape;EC36: Rhini;Makana;005;Umzi Wasetiyopiya Catholic Church;
Eastern Cape;EC36: Rhini;Makana;011;Ethopian Orthodox Church Of South Africa;
Eastern Cape;EC36: Rhini;Makana;005;New Community Hall;
Eastern Cape;EC36: Rhini;Makana;013;Vukani ( Tent Site);
Eastern Cape;EC36: Rhini;Makana;006;Ikutliso Daniels High School;
Eastern Cape;EC36: Rhini;Makana;006;DDSiwisa Primary School;
Eastern Cape;EC36: Rhini;Makana;010;Apostolic Faith Mission Church;
Eastern Cape;EC37: Port Alfred;Ndlambe;005;Nolukhanyo Community Hall;
Eastern Cape;EC37: Port Alfred;Ndlambe;005;Freestone Sports Club Hall;
Eastern Cape;EC37: Port Alfred;Ndlambe;010;Memorial Hall;
Eastern Cape;EC37: Port Alfred;Ndlambe;008;Nomzamo School;
Eastern Cape;EC37: Port Alfred;Ndlambe;009;Jauka Hall;
Eastern Cape;EC37: Port Alfred;Ndlambe;008;Dambuza School;
Eastern Cape;EC37: Port Alfred;Ndlambe;007;Kuyasa School;
Eastern Cape;EC37: Port Alfred;Ndlambe;009;Station Hill Community Hall;
Eastern Cape;EC37: Port Alfred;Ndlambe;009;United Ethiopian Church;
Eastern Cape;EC37: Port Alfred;Ndlambe;006;Wilson Party School;
Eastern Cape;EC37: Port Alfred;Ndlambe;006;Shaw Park School;
Eastern Cape;EC37: Port Alfred;Ndlambe;006;Coombs Hall;
Eastern Cape;EC37: Port Alfred;Ndlambe;006;Trappes Valley Hall;
Eastern Cape;EC37: Port Alfred;Ndlambe;006;Titi Jonas Multi-Purpose Centre;
Eastern Cape;EC37: Port Alfred;Ndlambe;006;Seafield Community Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;022;Bezuidenhoutville Community Centre;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;021;Phakamisani  Creche;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;021;Lingelethu Community Centre;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;021;Town Hall Adelaide;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;022;Amajingqi High School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;002;Eyethu Community Hall Ntselamanzi;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;011;University Of Fort Hare;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;006;Alice Town Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;006;Golf Course Community Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;023;Bedford Town Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;023;Msombomvu Community Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;023;Nyarha  Pre-School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;023;St Joseph Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;023;Springgrove Farm;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;019;Inyibiba Public School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;019;Eyabantu High School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;003;Washington Bongco Library;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;020;Hillside Community Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;008;Fort Beaufort Municipality Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;008;Newtown Community Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;003;Cape College;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;020;KingS Kids Pre School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;003;Nqaba Lower Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;019;Ilingelabantu Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;016;Middledrift Community Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;004;Jeanett Mahonga Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;009;Winterberg Country Club;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;022;Lemoenskraal Farm;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;008;Wagonsdrift Farm;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;009;Post Retief Sport Club;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;008;Molweni Private Game Reserve;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;022;Bible Way Believers Church;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;022;Eildon Farm;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;022;Fairholdt Church;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;009;Glenthorn Store;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;007;Lower Blankwater Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;008;Rietfontein Farm;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;020;Lindani High School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;008;Sparkington Tent;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;007;Healdtown Comprehensive School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;007;Wezo Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;007;Ngcwengxa Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;007;Cimezile Community Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;007;Daluxolo Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;008;Mount Pleasant Com Hall;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;010;Mhlambiso Lower/Higher Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;010;Zixinene Lower/Higher Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;015;Vukani High School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;016;Cildara Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;015;Ngqele Primary School;
Eastern Cape;EC41: Raymond Mhlaba;Raymond Mhlaba;015;Nangu Primary School;
